City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
7703 - Barrhaven - Cedargrove/Fraserdale,Detached,69,0.67,50965.0,798502.0,7703_-_Barrhaven_-_Cedargrove_Fraserdale_Detached_Matrix.csv
Colborne,Detached,125,0.67,73161.0,566435.0,Colborne_Detached_Matrix.csv
Northwest Brampton,Detached,287,0.67,71196.0,1185719.0,Northwest_Brampton_Detached_Matrix.csv
South F,Detached,149,0.67,65122.0,634015.0,South_F_Detached_Matrix.csv
South B,Detached,122,0.67,115173.0,888014.0,South_B_Detached_Matrix.csv
Bram East,Detached,206,0.67,107427.0,1339708.0,Bram_East_Detached_Matrix.csv
Forest Hill South,Condo Apartment,49,0.67,94434.0,1132988.0,Forest_Hill_South_Condo_Apartment_Matrix.csv
Long Branch,Detached,73,0.67,194189.0,1355448.0,Long_Branch_Detached_Matrix.csv
1008 - GO Glenorchy,Detached,134,0.67,94437.0,1832294.0,1008_-_GO_Glenorchy_Detached_Matrix.csv
1026 - CB Cobban,Detached,79,0.67,77444.0,1316829.0,1026_-_CB_Cobban_Detached_Matrix.csv
New Toronto,Detached,84,0.67,176742.0,1255500.0,New_Toronto_Detached_Matrix.csv
Williamsburg,Detached,177,0.67,78693.0,1134839.0,Williamsburg_Detached_Matrix.csv
Stoney Creek,Detached,296,0.67,108322.0,899331.0,Stoney_Creek_Detached_Matrix.csv
Duffin Heights,Townhouse,119,0.67,44354.0,688817.0,Duffin_Heights_Townhouse_Matrix.csv
7709 - Barrhaven - Strandherd,Detached,54,0.66,44274.0,809446.0,7709_-_Barrhaven_-_Strandherd_Detached_Matrix.csv
Kleinburg,Detached,194,0.66,225307.0,2094718.0,Kleinburg_Detached_Matrix.csv
Rural Uxbridge,Detached,109,0.66,241069.0,1480840.0,Rural_Uxbridge_Detached_Matrix.csv
Yonge-Eglinton,Detached,74,0.66,321624.0,2398100.0,Yonge-Eglinton_Detached_Matrix.csv
Concord,Condo Apartment,209,0.66,41021.0,588415.0,Concord_Condo_Apartment_Matrix.csv
Rural Whitby,Detached,117,0.66,135803.0,1285488.0,Rural_Whitby_Detached_Matrix.csv
East I,Townhouse,51,0.66,24932.0,372565.0,East_I_Townhouse_Matrix.csv
Blue Mountains,Condo Apartment,66,0.66,53612.0,457308.0,Blue_Mountains_Condo_Apartment_Matrix.csv
Midland,Townhouse,46,0.66,45882.0,548593.0,Midland_Townhouse_Matrix.csv
Humewood-Cedarvale,Detached,95,0.66,304720.0,2000915.0,Humewood-Cedarvale_Detached_Matrix.csv
Rural Richmond Hill,Townhouse,102,0.66,102530.0,1116422.0,Rural_Richmond_Hill_Townhouse_Matrix.csv
437 - Lakeshore,Detached,106,0.66,101404.0,773782.0,437_-_Lakeshore_Detached_Matrix.csv
Kirkendall,Detached,94,0.65,122660.0,984021.0,Kirkendall_Detached_Matrix.csv
Cooksville,Townhouse,81,0.65,34103.0,741222.0,Cooksville_Townhouse_Matrix.csv
7802 - Westcliffe Estates,Townhouse,75,0.65,35133.0,425777.0,7802_-_Westcliffe_Estates_Townhouse_Matrix.csv
1008 - GO Glenorchy,Condo Apartment,88,0.65,49511.0,583047.0,1008_-_GO_Glenorchy_Condo_Apartment_Matrix.csv
Northwest Ajax,Detached,125,0.65,77081.0,1158166.0,Northwest_Ajax_Detached_Matrix.csv
Alcona,Detached,392,0.65,93886.0,853591.0,Alcona_Detached_Matrix.csv
Bowmanville,Detached,706,0.65,68599.0,871472.0,Bowmanville_Detached_Matrix.csv
East F,Condo Apartment,75,0.65,44995.0,397371.0,East_F_Condo_Apartment_Matrix.csv
531 - Laurentian Valley,Detached,124,0.65,74777.0,503736.0,531_-_Laurentian_Valley_Detached_Matrix.csv
911 - Almonte,Detached,89,0.65,67304.0,663200.0,911_-_Almonte_Detached_Matrix.csv
Ashburnham Ward 4,Detached,224,0.65,51886.0,608338.0,Ashburnham_Ward_4_Detached_Matrix.csv
Brooklin,Detached,268,0.65,107495.0,1186115.0,Brooklin_Detached_Matrix.csv
Yorkdale-Glen Park,Detached,67,0.65,173832.0,1298875.0,Yorkdale-Glen_Park_Detached_Matrix.csv
7711 - Barrhaven - Half Moon Bay,Townhouse,215,0.64,26336.0,585167.0,7711_-_Barrhaven_-_Half_Moon_Bay_Townhouse_Matrix.csv
Vanier,Detached,115,0.64,52959.0,625945.0,Vanier_Detached_Matrix.csv
Banbury-Don Mills,Condo Apartment,277,0.64,96308.0,714086.0,Banbury-Don_Mills_Condo_Apartment_Matrix.csv
Rouge E11,Townhouse,66,0.64,71381.0,780531.0,Rouge_E11_Townhouse_Matrix.csv
South Richvale,Detached,63,0.64,592129.0,2729646.0,South_Richvale_Detached_Matrix.csv
Cornell,Townhouse,184,0.64,68872.0,951078.0,Cornell_Townhouse_Matrix.csv
Lawrence Park South,Detached,145,0.64,418977.0,2881127.0,Lawrence_Park_South_Detached_Matrix.csv
Cabbagetown-South St. James Town,Condo Apartment,97,0.64,59980.0,584987.0,Cabbagetown-South_St._James_Town_Condo_Apartment_Matrix.csv
1033 - HA Harrison,Townhouse,86,0.64,34905.0,812924.0,1033_-_HA_Harrison_Townhouse_Matrix.csv
Orchard,Detached,120,0.64,91073.0,1289052.0,Orchard_Detached_Matrix.csv
Pineridge/Westminster Woods,Townhouse,88,0.64,52662.0,760358.0,Pineridge_Westminster_Woods_Townhouse_Matrix.csv
Dovercourt-Wallace Emerson-Junction,Townhouse,140,0.64,111037.0,1009269.0,Dovercourt-Wallace_Emerson-Junction_Townhouse_Matrix.csv
Eglinton East,Condo Apartment,58,0.64,41348.0,487124.0,Eglinton_East_Condo_Apartment_Matrix.csv
Fletcher's Creek South,Detached,99,0.64,57315.0,1013753.0,Fletcher's_Creek_South_Detached_Matrix.csv
